model,task,layer,seed,val_auroc,test_auroc,pert_auroc,reph_auroc,test_acc,test_f1,test_ece,test_brier
gpt2,tomi_nli,0,42,0.494140625,0.4684177611006879,0.5575447570332481,0.5758730158730159,0.475,0.4878048780487805,0.3378436772955557,0.373516768917778
gpt2,tomi_nli,0,43,0.494140625,0.4684177611006879,0.5575447570332481,0.5758730158730159,0.475,0.4878048780487805,0.3378436772955557,0.373516768917778
gpt2,tomi_nli,0,44,0.494140625,0.4684177611006879,0.5575447570332481,0.5758730158730159,0.475,0.4878048780487805,0.3378436772955557,0.373516768917778
gpt2,tomi_nli,1,42,0.5384114583333334,0.5059412132582864,0.45524296675191817,0.5168253968253969,0.525,0.525,0.3261251629003525,0.37417970454142646
gpt2,tomi_nli,1,43,0.5384114583333334,0.5059412132582864,0.45524296675191817,0.5168253968253969,0.525,0.525,0.3261251629003525,0.37417970454142646
gpt2,tomi_nli,1,44,0.5384114583333334,0.5059412132582864,0.45524296675191817,0.5168253968253969,0.525,0.525,0.3261251629003525,0.37417970454142646
gpt2,tomi_nli,2,42,0.5234375,0.5184490306441527,0.5319693094629157,0.40476190476190477,0.5625,0.5882352941176471,0.3223529805912517,0.3637046154841532
gpt2,tomi_nli,2,43,0.5234375,0.5184490306441527,0.5319693094629157,0.40476190476190477,0.5625,0.5882352941176471,0.3223529805912517,0.3637046154841532
gpt2,tomi_nli,2,44,0.5234375,0.5184490306441527,0.5319693094629157,0.40476190476190477,0.5625,0.5882352941176471,0.3223529805912517,0.3637046154841532
gpt2,tomi_nli,3,42,0.5,0.5003126954346466,0.6163682864450128,0.5,0.4875,0.5060240963855421,0.35867938271539596,0.3909313802542224
gpt2,tomi_nli,3,43,0.5,0.5003126954346466,0.6163682864450128,0.5,0.4875,0.5060240963855421,0.35867938271539596,0.3909313802542224
gpt2,tomi_nli,3,44,0.5,0.5003126954346466,0.6163682864450128,0.5,0.4875,0.5060240963855421,0.35867938271539596,0.3909313802542224
gpt2,tomi_nli,4,42,0.583984375,0.5103189493433397,0.6067774936061381,0.5,0.5125,0.5617977528089888,0.34904407251141195,0.3872697344239878
gpt2,tomi_nli,4,43,0.583984375,0.5103189493433397,0.6067774936061381,0.5,0.5125,0.5617977528089888,0.34904407251141195,0.3872697344239878
gpt2,tomi_nli,4,44,0.583984375,0.5103189493433397,0.6067774936061381,0.5,0.5125,0.5617977528089888,0.34904407251141195,0.3872697344239878
gpt2,tomi_nli,5,42,0.6243489583333333,0.4465290806754222,0.6441815856777494,0.5,0.5125,0.5301204819277109,0.39433527043101735,0.4171676876794172
gpt2,tomi_nli,5,43,0.6243489583333333,0.4465290806754222,0.6441815856777494,0.5,0.5125,0.5301204819277109,0.39433527043101735,0.4171676876794172
gpt2,tomi_nli,5,44,0.6243489583333333,0.4465290806754222,0.6441815856777494,0.5,0.5125,0.5301204819277109,0.39433527043101735,0.4171676876794172
gpt2,tomi_nli,6,42,0.5390625,0.4853033145716073,0.6342710997442456,0.5,0.4375,0.43037974683544306,0.4398407487467553,0.43141522364341534
gpt2,tomi_nli,6,43,0.5390625,0.4853033145716073,0.6342710997442456,0.5,0.4375,0.43037974683544306,0.4398407487467553,0.43141522364341534
gpt2,tomi_nli,6,44,0.5390625,0.4853033145716073,0.6342710997442456,0.5,0.4375,0.43037974683544306,0.4398407487467553,0.43141522364341534
gpt2,tomi_nli,7,42,0.44726562499999994,0.5215759849906191,0.6163682864450127,0.5,0.5125,0.5301204819277109,0.3611309920042284,0.37578073064061573
gpt2,tomi_nli,7,43,0.44726562499999994,0.5215759849906191,0.6163682864450127,0.5,0.5125,0.5301204819277109,0.3611309920042284,0.37578073064061573
gpt2,tomi_nli,7,44,0.44726562499999994,0.5215759849906191,0.6163682864450127,0.5,0.5125,0.5301204819277109,0.3611309920042284,0.37578073064061573
gpt2,tomi_nli,8,42,0.5240885416666667,0.5128205128205128,0.6317135549872124,0.4838095238095238,0.4875,0.5176470588235295,0.3903865429606175,0.40010442911349886
gpt2,tomi_nli,8,43,0.5240885416666667,0.5128205128205128,0.6317135549872124,0.4838095238095238,0.4875,0.5176470588235295,0.3903865429606175,0.40010442911349886
gpt2,tomi_nli,8,44,0.5240885416666667,0.5128205128205128,0.6317135549872124,0.4838095238095238,0.4875,0.5176470588235295,0.3903865429606175,0.40010442911349886
gpt2,tomi_nli,9,42,0.4967447916666667,0.5453408380237649,0.5147058823529411,0.3844444444444445,0.625,0.5945945945945946,0.33019907074776056,0.33583073107987804
gpt2,tomi_nli,9,43,0.4967447916666667,0.5453408380237649,0.5147058823529411,0.3844444444444445,0.625,0.5945945945945946,0.33019907074776056,0.33583073107987804
gpt2,tomi_nli,9,44,0.4967447916666667,0.5453408380237649,0.5147058823529411,0.3844444444444445,0.625,0.5945945945945946,0.33019907074776056,0.33583073107987804
gpt2,tomi_nli,10,42,0.5221354166666666,0.46028767979987495,0.5281329923273657,0.47555555555555556,0.4375,0.4,0.3847165717327102,0.40645779199456056
gpt2,tomi_nli,10,43,0.5221354166666666,0.46028767979987495,0.5281329923273657,0.47555555555555556,0.4375,0.4,0.3847165717327102,0.40645779199456056
gpt2,tomi_nli,10,44,0.5221354166666666,0.46028767979987495,0.5281329923273657,0.47555555555555556,0.4375,0.4,0.3847165717327102,0.40645779199456056
gpt2,tomi_nli,11,42,0.4928385416666667,0.4565353345841151,0.4961636828644501,0.5460317460317461,0.5,0.4117647058823529,0.36685827450551317,0.40171944353995476
gpt2,tomi_nli,11,43,0.4928385416666667,0.4565353345841151,0.4961636828644501,0.5460317460317461,0.5,0.4117647058823529,0.36685827450551317,0.40171944353995476
gpt2,tomi_nli,11,44,0.4928385416666667,0.4565353345841151,0.4961636828644501,0.5460317460317461,0.5,0.4117647058823529,0.36685827450551317,0.40171944353995476
gpt2,truthfulqa_mc,0,42,0.5205078125,0.5213882163034705,0.5609362389023406,0.3962873284907183,0.6125,0.24390243902439024,0.29525862030559424,0.2979075847012263
gpt2,truthfulqa_mc,0,43,0.5205078125,0.5213882163034705,0.5609362389023406,0.3962873284907183,0.6125,0.24390243902439024,0.29525862030559424,0.2979075847012263
gpt2,truthfulqa_mc,0,44,0.5205078125,0.5213882163034705,0.5609362389023406,0.3962873284907183,0.6125,0.24390243902439024,0.29525862030559424,0.2979075847012263
gpt2,truthfulqa_mc,1,42,0.6630859375,0.6085552865213881,0.6053268765133172,0.4862792574656981,0.6875,0.4186046511627907,0.2755822999555674,0.2744723000135994
gpt2,truthfulqa_mc,1,43,0.6630859375,0.6085552865213881,0.6053268765133172,0.4862792574656981,0.6875,0.4186046511627907,0.2755822999555674,0.2744723000135994
gpt2,truthfulqa_mc,1,44,0.6630859375,0.6085552865213881,0.6053268765133172,0.4862792574656981,0.6875,0.4186046511627907,0.2755822999555674,0.2744723000135994
gpt2,truthfulqa_mc,2,42,0.560546875,0.6400322841000806,0.6029055690072639,0.4358353510895884,0.7,0.4,0.22570846030457903,0.2303667935178714
gpt2,truthfulqa_mc,2,43,0.560546875,0.6400322841000806,0.6029055690072639,0.4358353510895884,0.7,0.4,0.22570846030457903,0.2303667935178714
gpt2,truthfulqa_mc,2,44,0.560546875,0.6400322841000806,0.6029055690072639,0.4358353510895884,0.7,0.4,0.22570846030457903,0.2303667935178714
gpt2,truthfulqa_mc,3,42,0.546875,0.513317191283293,0.5456012913640031,0.5189669087974172,0.65,0.3,0.29072375539539613,0.27631246265621
